location,likes,text,date
"Nova Iorque, USA",51971,"RT @IzabelleFores: Depois do Embaixador da China afrontar o Presidente e até chamá-lo de Bozo o que falta pra ser expulso do Brasil?

“Deix…",7/1/2018
"Pennsylvania, United States",181077,RT @Czarcraft_: Marc Scaringi: PA Gov. Wolf's COVID Response Wasn't Just Unconstitutional - It Was Made Up on the Fly https://t.co/5kIKZkWc…,2/4/2017
"Kentucky, USA",16117,"RT @11thHour: .@RonaldKlain says if Trump wants Americans to return to their jobs, then he needs to start by doing his own. 

https://t.co/…",2/1/2020
"Danville, IL",8,"Vermilion County Coronavirus Cases Rise to Seven
 https://t.co/0wcsRwxyov",8/28/2011
"Green Bay, WI",6913,Looking ahead from now on you'll be able to find Spanish-language Covid-19 information from the Governor &amp; other of… https://t.co/rpxCmxnB3z,2/19/2015
"Virginia, USA",9224,"RT @iran_policy: Latest News in Brief - April 6, 2020 
Iran #coronavirus update: 18,600 dead, “one million may die” due to government misma…",8/28/2009
"New York, NY",265563,@fcntim @lennycurry #COVIDIOT,4/29/2017
"Houston, TX",5235,Poetic justice? https://t.co/vCk0a63kaz,10/10/2012
"Pearland, TX",35517,"RT @Bill_Maxwell_: Sens. Warren and Blumenthal to medical equipment wholesalers:

""Explain your role in the Jared Kushner-led 'Project Air…",12/10/2018
"Gaffney, SC",30910,"RT @ScottPresler: The democrats are trying to steal the election in Wisconsin.

An Obama-appointed judge (William Conley) ruled that voters…",5/31/2018
"New York, NY",0,NYPD union wants to sue those ignoring social distancing - New York Daily News https://t.co/YasjxlxzX0,5/21/2016
"Los Angeles, California",1717,RT @ABC: Rio's Christ the Redeemer statue lit up to look like a doctor on Easter Sunday to honor health care workers on the front lines of…,2/6/2009
"San Francisco, California",211485,"With drug-addict-trump in charge, this pandemic lock-down is going to last a long time (at least a year). https://t.co/hJhYHsQH1z",9/27/2010
"Atlanta, GA",19671,RT @staceyabrams: Georgia: 14th highest infection/7th lowest testing rate; less econ resilient &amp; 1000s of low-wage workers already forced t…,10/1/2017
"Boston, MA",6798,No evidence coronavirus created in a lab - WHO: Live updates | News | Al Jazeera https://t.co/8KuvPUfAmC,5/14/2012
